team_name,player_name,player_id,role,bowling_arm,bowling_type,batting_hand,batter_classification,bowler_classification,batter_tags,bowler_tags,is_captain
Sunrisers Hyderabad,Ishan Kishan,752f7486,Wicketkeeper,Right-arm,Medium,Left-hand,Power Finisher,,PLAYMAKER|DEATH_SPECIALIST|SIX_HITTER,
Sunrisers Hyderabad,Liam Livingstone,50c6bc2b,All-rounder,Right-arm,Leg-spin,Right-hand,Power Finisher,,MIDDLE_ORDER|DEATH_SPECIALIST|SIX_HITTER|PACE_SPECIALIST,WORKHORSE
Gujarat Titans,Jos Buttler,99b75528,Wicketkeeper,Right-arm,Medium,Right-hand,Power Finisher,,EXPLOSIVE_OPENER|MIDDLE_OVERS_ACCELERATOR|DEATH_SPECIALIST|SIX_HITTER|CONSISTENT,
Lucknow Super Giants,Rishabh Pant,919a3be2,Wicketkeeper,Right-arm,Medium,Left-hand,Power Finisher,,MIDDLE_ORDER|DEATH_SPECIALIST|SIX_HITTER,,TRUE
Chennai Super Kings,MS Dhoni,4a8a2e3b,Wicketkeeper,Right-arm,Medium,Right-hand,,,FINISHER|CONSISTENT|PACE_SPECIALIST,
Chennai Super Kings,Shivam Dube,a4e37e47,All-rounder,Right-arm,Medium,Left-hand,,,ACCUMULATOR,
Chennai Super Kings,Dewald Brevis,844e79d1,All-rounder,Right-arm,Off-spin,Right-hand,Power Finisher,,MIDDLE_ORDER|DEATH_SPECIALIST|SIX_HITTER,,
Chennai Super Kings,Ayush Mhatre,b2b4f545,Batter,Right-arm,Medium,Right-hand,,,,
Chennai Super Kings,Noor Ahmad,efc04be7,Bowler,Left-arm,Left-arm wrist spin,Left-hand,,,,WORKHORSE
Chennai Super Kings,Jamie Overton,59559bc2,All-rounder,Right-arm,Fast,Right-hand,,,,
Chennai Super Kings,Anshul Kamboj,fcc21ace,Bowler,Right-arm,Fast,Right-hand,,,,
Chennai Super Kings,Gurjapneet Singh,21e9f44d,Bowler,Left-arm,Fast,Left-hand,,,ACCUMULATOR,
Chennai Super Kings,Shreyas Gopal,7a8bd078,Bowler,Right-arm,Leg-spin,Right-hand,,,,WORKHORSE
Chennai Super Kings,Mukesh Choudhary,765a4731,Bowler,Left-arm,Fast,Left-hand,,,,PART_TIMER|PRESSURE_BUILDER
Chennai Super Kings,Prashant Veer,e148e6bd,All-rounder,Right-arm,Off-spin,Right-hand,,,,
Chennai Super Kings,Matthew Short,a90e53ec,All-rounder,Right-arm,Off-spin,Right-hand,,,,
Chennai Super Kings,Sarfaraz Khan,f088b960,Batter,Right-arm,Leg-spin,Right-hand,,,ACCUMULATOR|PACE_SPECIALIST,
Chennai Super Kings,Akeal Hosein,4d7f517e,Bowler,Left-arm,Left-arm orthodox,Left-hand,,,,
Chennai Super Kings,Urvil Patel,cf59b3f0,Wicketkeeper,Right-arm,Medium,Right-hand,,,,
Chennai Super Kings,Ramakrishna Ghosh,18cf188b,Bowler,Right-arm,Fast,Right-hand,,,,
Chennai Super Kings,Matt Henry,e84ac20c,Bowler,Right-arm,Fast,Right-hand,,,,
Chennai Super Kings,Zak Foulkes,30f92334,Bowler,Right-arm,Fast,Right-hand,,,,
Mumbai Indians,Mitchell Santner,e4a0deae,All-rounder,Left-arm,Left-arm orthodox,Left-hand,,,,MIDDLE_OVERS_CONTROLLER|MID_OVERS_ELITE
Mumbai Indians,Naman Dhir,fffa744b,All-rounder,Left-arm,Left-arm orthodox,Left-hand,,,,
Mumbai Indians,AM Ghazanfar,9ca68676,Bowler,Right-arm,Off-spin,Right-hand,,,,
Mumbai Indians,Ryan Rickelton,e66732f8,Batter,Right-arm,Medium,Left-hand,,,,
Mumbai Indians,Robin Minz,bafd0398,Wicketkeeper,Right-arm,Medium,Right-hand,,,,
Mumbai Indians,Raj Bawa,ba6b2f91,All-rounder,Right-arm,Fast,Left-hand,,,,
Mumbai Indians,Will Jacks,9caf69a1,All-rounder,Right-arm,Off-spin,Right-hand,,,EXPLOSIVE_OPENER|PP_DOMINATOR|MIDDLE_OVERS_ACCELERATOR|DEATH_SPECIALIST|SIX_HITTER,
Mumbai Indians,Sherfane Rutherford,d014d5ac,All-rounder,Right-arm,Medium,Left-hand,,,,
Mumbai Indians,Danish Malewar,1b11888f,Batter,Right-arm,Leg-spin,Right-hand,,,,
Mumbai Indians,Corbin Bosch,172dff15,All-rounder,Right-arm,Fast,Right-hand,,,,
Mumbai Indians,Atharva Ankolekar,d6cd318e,Bowler,Left-arm,Left-arm orthodox,Left-hand,,,,
