batter1_id,batter1_name,batter2_id,batter2_name,match_year,matches_together,total_runs,total_balls,partnership_sr,batter1_sr,batter2_sr,synergy_score
1abb78f8,SN Thakur,a24be938,VR Iyer,2023,2,58.0,32.0,181.25,161.43,146.38,8.8
dbe50b21,HH Pandya,fe11caa6,WP Saha,2023,2,116.0,80.0,145.0,137.85,130.18,8.8
eaa76d3c,C Green,f1f99156,TH David,2023,4,100.0,57.0,175.44,162.01,158.22,8.7
5b8c830e,KH Pandya,d9273ee7,MP Stoinis,2023,4,168.0,121.0,138.84,113.94,150.0,8.3
48a1d7b7,SO Hetmyer,6c19c6e5,YBK Jaiswal,2023,3,70.0,39.0,179.49,152.55,164.04,8.3
372455c4,Q de Kock,663b5e34,PN Mankad,2023,3,83.0,55.0,150.91,141.58,130.99,8.0
00ea847a,MA Agarwal,6a26221c,AK Markram,2023,1,46.0,30.0,153.33,129.81,125.89,7.6
45a43fe2,RD Gaikwad,70d205c9,AT Rayudu,2023,2,85.0,54.0,157.41,148.24,139.82,7.2
4ae1755b,HC Brook,6a26221c,AK Markram,2023,3,73.0,53.0,137.74,124.18,125.89,6.7
dcce6f09,DA Warner,dd7e9b3b,YV Dhull,2023,3,55.0,48.0,114.58,131.97,69.57,6.6
3d284ca3,PD Salt,dcce6f09,DA Warner,2023,8,156.0,101.0,154.46,163.91,131.97,6.6
d5130a30,B Sai Sudharsan,fe11caa6,WP Saha,2023,1,64.0,42.0,152.38,143.08,130.18,6.6
85b3fab2,T Stubbs,d1a60072,N Wadhera,2023,1,54.0,42.0,128.57,80.65,145.18,6.6
04a418e8,R Parag,2c25d4f5,D Padikkal,2023,3,73.0,53.0,137.74,120.0,130.5,6.6
b0482a1d,Tilak Varma,f1f99156,TH David,2023,6,194.0,116.0,167.24,164.9,158.22,6.6
0a476045,S Dhawan,a90e53ec,MW Short,2023,3,87.0,60.0,145.0,144.57,127.17,5.5
a24be938,VR Iyer,d1c36f5c,JJ Roy,2023,5,101.0,64.0,157.81,146.38,152.41,5.4
1ac746c8,Atharva Taide,9418198b,P Simran Singh,2023,6,160.0,105.0,152.38,144.19,150.42,5.3
b0482a1d,Tilak Varma,d1a60072,N Wadhera,2023,2,61.0,36.0,169.44,164.9,145.18,5.2
235c2bb6,H Klaasen,2e81a32d,B Kumar,2023,1,68.0,47.0,144.68,178.49,89.36,5.1
ad427b5c,Lalit Yadav,dcce6f09,DA Warner,2023,3,89.0,69.0,128.99,111.86,131.97,4.9
26d041c4,Sikandar Raza,e94915e6,SM Curran,2023,2,62.0,41.0,151.22,141.84,137.31,4.8
0a509d6b,RK Singh,d1c36f5c,JJ Roy,2023,2,79.0,49.0,161.22,151.44,152.41,4.6
271f83cd,SA Yadav,d1a60072,N Wadhera,2023,5,260.0,156.0,166.67,182.23,145.18,4.6
29e95537,AM Rahane,45a43fe2,RD Gaikwad,2023,3,126.0,76.0,165.79,172.49,148.24,4.1
1399b39c,Anmolpreet Singh,f29185a1,Abhishek Sharma,2023,3,76.0,53.0,143.4,128.05,144.87,3.7
0a509d6b,RK Singh,fb2d1dda,N Rana,2023,3,229.0,154.0,148.7,151.44,141.44,3.5
48a1d7b7,SO Hetmyer,99b75528,JC Buttler,2023,2,56.0,36.0,155.56,152.55,139.5,3.4
bb351c23,MM Ali,df5a6881,DP Conway,2023,3,54.0,36.0,150.0,140.91,140.29,3.4
b4b99816,Shubman Gill,fe11caa6,WP Saha,2023,17,590.0,406.0,145.32,158.93,130.18,3.1
0494fa6e,Vishnu Vinod,271f83cd,SA Yadav,2023,2,96.0,61.0,157.38,123.33,182.23,2.8
0a476045,S Dhawan,9418198b,P Simran Singh,2023,11,212.0,142.0,149.3,144.57,150.42,2.6
