bowler_id,bowler_name,lhb_balls,lhb_economy,lhb_strike_rate,lhb_wickets,rhb_balls,rhb_economy,rhb_strike_rate,rhb_wickets,economy_diff,strike_rate_diff,lhb_wickets_per_ball,rhb_wickets_per_ball,wickets_per_ball_diff,handedness_tags
2f49c897,Mohammed Siraj,374,9.4,22.0,17.0,424,8.82,17.67,24.0,0.5800000000000001,4.329999999999998,0.045454545454545456,0.05660377358490566,-0.011149228130360206,
c33d8116,Mohsin Khan,75,9.84,10.71,7.0,165,10.76,41.25,4.0,-0.9199999999999999,-30.54,0.09333333333333334,0.024242424242424242,0.06909090909090909,LHB_WICKET_TAKER
2cffab74,Mukesh Kumar,227,9.81,12.61,18.0,309,11.55,14.05,22.0,-1.7400000000000002,-1.4400000000000013,0.07929515418502203,0.07119741100323625,0.008097743181785785,"LHB_SPECIALIST, RHB_VULNERABLE"
0a8fce53,Mustafizur Rahman,102,9.18,20.4,5.0,161,9.35,13.42,12.0,-0.16999999999999993,6.979999999999999,0.049019607843137254,0.07453416149068323,-0.025514553647545977,RHB_WICKET_TAKER
ee1b6c27,N Thushara,74,8.51,24.67,3.0,89,10.31,14.83,6.0,-1.8000000000000007,9.840000000000002,0.04054054054054054,0.06741573033707865,-0.026875189796538107,"LHB_SPECIALIST, RHB_VULNERABLE, RHB_WICKET_TAKER"
9eb1455b,NT Ellis,86,7.47,28.67,3.0,128,9.8,16.0,8.0,-2.330000000000001,12.670000000000002,0.03488372093023256,0.0625,-0.027616279069767442,"LHB_SPECIALIST, RHB_VULNERABLE, RHB_WICKET_TAKER"
c0c411cb,Naveen-ul-Haq,142,9.25,20.29,7.0,160,10.16,12.31,13.0,-0.9100000000000001,7.979999999999999,0.04929577464788732,0.08125,-0.03195422535211268,RHB_WICKET_TAKER
efc04be7,Noor Ahmad,219,7.89,12.17,18.0,480,8.39,20.87,23.0,-0.5000000000000009,-8.700000000000001,0.0821917808219178,0.04791666666666667,0.034275114155251134,LHB_WICKET_TAKER
ded9240e,PJ Cummins,222,9.14,24.67,9.0,323,9.29,19.0,17.0,-0.14999999999999858,5.670000000000002,0.04054054054054054,0.05263157894736842,-0.012091038406827875,
98ae73b1,PP Chawla,161,8.68,17.89,9.0,233,8.65,14.56,16.0,0.02999999999999936,3.33,0.055900621118012424,0.06866952789699571,-0.012768906778983284,
a97c8ec2,PWH de Silva,144,10.63,20.57,7.0,216,8.56,21.6,10.0,2.0700000000000003,-1.0300000000000011,0.04861111111111111,0.046296296296296294,0.002314814814814818,"RHB_SPECIALIST, LHB_VULNERABLE"
495d42a5,R Ashwin,305,8.77,27.73,11.0,330,8.85,36.67,9.0,-0.08000000000000007,-8.940000000000001,0.036065573770491806,0.02727272727272727,0.008792846497764534,
c7a995d3,R Sai Kishore,78,11.31,13.0,6.0,246,8.95,15.38,16.0,2.360000000000001,-2.380000000000001,0.07692307692307693,0.06504065040650407,0.011882426516572855,"RHB_SPECIALIST, LHB_VULNERABLE"
fe93fd9d,RA Jadeja,272,8.67,22.67,12.0,422,7.28,20.1,21.0,1.3899999999999997,2.5700000000000003,0.04411764705882353,0.04976303317535545,-0.005645386116531918,"RHB_SPECIALIST, LHB_VULNERABLE"
2ed569a0,RD Chahar,127,6.94,15.88,8.0,266,8.98,44.33,6.0,-2.04,-28.449999999999996,0.06299212598425197,0.022556390977443608,0.04043573500680836,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER"
5f547c8b,Rashid Khan,317,8.27,16.68,19.0,534,9.1,31.41,17.0,-0.8300000000000001,-14.73,0.05993690851735016,0.031835205992509365,0.028101702524840795,LHB_WICKET_TAKER
b8527c3d,Rasikh Salam,66,11.0,16.5,4.0,95,11.18,19.0,5.0,-0.17999999999999972,-2.5,0.06060606060606061,0.05263157894736842,0.00797448165869219,
df064e1a,Ravi Bishnoi,268,8.78,19.14,14.0,347,9.89,31.55,11.0,-1.1100000000000012,-12.41,0.05223880597014925,0.03170028818443804,0.02053851778571121,"LHB_SPECIALIST, RHB_VULNERABLE, LHB_WICKET_TAKER"
83c3e8e3,SH Johnson,60,9.6,60.0,1.0,85,12.0,42.5,2.0,-2.4000000000000004,17.5,0.016666666666666666,0.023529411764705882,-0.006862745098039216,"LHB_SPECIALIST, RHB_VULNERABLE"
e94915e6,SM Curran,163,9.35,20.38,8.0,310,11.3,20.67,15.0,-1.950000000000001,-0.2900000000000027,0.049079754601226995,0.04838709677419355,0.000692657827033448,"LHB_SPECIALIST, RHB_VULNERABLE"
