bowler_id,bowler_name,pressure_type,legal_balls,overs,runs_conceded,wickets,dot_balls,boundaries,sixes,pressure_economy,pressure_dot_pct,pressure_strike_rate,pressure_boundary_pct,pressure_six_pct
ce794613,T Natarajan,death_pressure,254.0,42.3,429.0,19.0,71.0,58.0,20.0,10.13,27.95,13.37,22.83,7.87
a818c1be,TA Boult,death_pressure,180.0,30.0,305.0,15.0,51.0,39.0,15.0,10.17,28.33,12.0,21.67,8.33
f24c6701,M Theekshana,death_pressure,114.0,19.0,196.0,8.0,31.0,22.0,10.0,10.32,27.19,14.25,19.3,8.77
85e0cf10,M Prasidh Krishna,death_pressure,108.0,18.0,187.0,15.0,38.0,26.0,14.0,10.39,35.19,7.2,24.07,12.96
244048f6,Arshdeep Singh,death_pressure,315.0,52.5,551.0,29.0,98.0,75.0,25.0,10.5,31.11,10.86,23.81,7.94
495d42a5,R Ashwin,death_pressure,78.0,13.0,137.0,3.0,18.0,14.0,9.0,10.54,23.08,26.0,17.95,11.54
5f547c8b,Rashid Khan,death_pressure,198.0,33.0,348.0,17.0,57.0,43.0,31.0,10.55,28.79,11.65,21.72,15.66
9eb1455b,NT Ellis,death_pressure,102.0,17.0,180.0,6.0,24.0,23.0,9.0,10.59,23.53,17.0,22.55,8.82
7c3b3b78,VG Arora,death_pressure,123.0,20.5,217.0,13.0,39.0,28.0,8.0,10.59,31.71,9.46,22.76,6.5
759ac88f,MM Sharma,death_pressure,289.0,48.2,510.0,22.0,72.0,61.0,31.0,10.59,24.91,13.14,21.11,10.73
ce820073,Sandeep Sharma,death_pressure,273.0,45.5,484.0,23.0,64.0,58.0,24.0,10.64,23.44,11.87,21.25,8.79
03806cf8,JR Hazlewood,death_pressure,89.0,14.8,158.0,8.0,32.0,23.0,13.0,10.65,35.96,11.13,25.84,14.61
9440ef41,Suyash Sharma,death_pressure,72.0,12.0,128.0,2.0,17.0,16.0,8.0,10.67,23.61,36.0,22.22,11.11
bbd41817,AD Russell,death_pressure,149.0,24.8,266.0,12.0,48.0,36.0,18.0,10.71,32.21,12.42,24.16,12.08
0a8fce53,Mustafizur Rahman,death_pressure,128.0,21.3,230.0,10.0,40.0,32.0,11.0,10.78,31.25,12.8,25.0,8.59
df064e1a,Ravi Bishnoi,death_pressure,109.0,18.2,196.0,8.0,39.0,29.0,14.0,10.79,35.78,13.63,26.61,12.84
f986ca1a,HV Patel,death_pressure,341.0,56.8,614.0,35.0,95.0,76.0,29.0,10.8,27.86,9.74,22.29,8.5
c7a995d3,R Sai Kishore,death_pressure,69.0,11.5,125.0,7.0,16.0,15.0,8.0,10.87,23.19,9.86,21.74,11.59
ded9240e,PJ Cummins,death_pressure,184.0,30.7,334.0,9.0,40.0,46.0,13.0,10.89,21.74,20.44,25.0,7.07
2e81a32d,B Kumar,death_pressure,288.0,48.0,526.0,18.0,64.0,70.0,23.0,10.96,22.22,16.0,24.31,7.99
0f721006,JO Holder,death_pressure,75.0,12.5,138.0,1.0,17.0,19.0,9.0,11.04,22.67,75.0,25.33,12.0
8cf9814c,Mohammed Shami,death_pressure,103.0,17.2,190.0,9.0,24.0,25.0,13.0,11.07,23.3,11.44,24.27,12.62
1e66c162,JD Unadkat,death_pressure,84.0,14.0,155.0,8.0,31.0,20.0,11.0,11.07,36.9,10.5,23.81,13.1
3204c99f,G Coetzee,death_pressure,99.0,16.5,183.0,7.0,28.0,21.0,12.0,11.09,28.28,14.14,21.21,12.12
1abb78f8,SN Thakur,death_pressure,185.0,30.8,344.0,13.0,49.0,45.0,21.0,11.16,26.49,14.23,24.32,11.35
3fb19989,MA Starc,death_pressure,119.0,19.8,223.0,13.0,38.0,29.0,15.0,11.24,31.93,9.15,24.37,12.61
c33d8116,Mohsin Khan,death_pressure,90.0,15.0,169.0,6.0,28.0,21.0,13.0,11.27,31.11,15.0,23.33,14.44
81c36ee9,M Jansen,death_pressure,67.0,11.2,127.0,8.0,19.0,15.0,7.0,11.37,28.36,8.38,22.39,10.45
4b31f3a3,Yash Thakur,death_pressure,181.0,30.2,346.0,13.0,52.0,46.0,22.0,11.47,28.73,13.92,25.41,12.15
4bd09374,Akash Madhwal,death_pressure,136.0,22.7,260.0,9.0,38.0,34.0,13.0,11.47,27.94,15.11,25.0,9.56
5bb1a1c4,I Sharma,death_pressure,74.0,12.3,142.0,6.0,15.0,19.0,5.0,11.51,20.27,12.33,25.68,6.76
7210d461,Yash Dayal,death_pressure,175.0,29.2,342.0,13.0,43.0,44.0,18.0,11.73,24.57,13.46,25.14,10.29
b0946605,AS Joseph,death_pressure,64.0,10.7,126.0,4.0,17.0,14.0,8.0,11.81,26.56,16.0,21.88,12.5
e94915e6,SM Curran,death_pressure,179.0,29.8,353.0,14.0,37.0,46.0,22.0,11.83,20.67,12.79,25.7,12.29
2f9d0389,LH Ferguson,death_pressure,76.0,12.7,150.0,5.0,19.0,20.0,10.0,11.84,25.0,15.2,26.32,13.16
46a9bea1,TU Deshpande,death_pressure,288.0,48.0,571.0,26.0,82.0,78.0,31.0,11.9,28.47,11.08,27.08,10.76
ffe699c0,CJ Jordan,death_pressure,60.0,10.0,119.0,2.0,21.0,20.0,6.0,11.9,35.0,30.0,33.33,10.0
eaa76d3c,C Green,death_pressure,97.0,16.2,194.0,4.0,26.0,28.0,15.0,12.0,26.8,24.25,28.87,15.46
