match_phase,bowler_id,bowler_name,overs,wickets,runs_conceded,economy,dot_ball_pct,pct_overs_in_phase,pct_wickets_in_phase,sample_size,phase_rank
death,03806cf8,JR Hazlewood,14.8,8.0,154.0,10.38,35.96,28.0,32.0,HIGH,44
death,1e66c162,JD Unadkat,14.0,8.0,142.0,10.14,36.9,22.2,42.1,HIGH,45
death,54e52590,Vijaykumar Vyshak,13.5,7.0,161.0,11.93,28.4,24.3,41.2,HIGH,46
death,495d42a5,R Ashwin,13.0,3.0,130.0,10.0,23.08,9.6,10.3,HIGH,47
death,2f9d0389,LH Ferguson,12.7,5.0,139.0,10.97,25.0,29.5,33.3,MEDIUM,48
death,0f721006,JO Holder,12.5,1.0,136.0,10.88,22.67,43.9,25.0,MEDIUM,49
death,5bb1a1c4,I Sharma,12.3,6.0,127.0,10.3,20.27,17.5,25.0,HIGH,50
death,dbe50b21,HH Pandya,12.0,10.0,157.0,13.08,25.0,12.5,35.7,HIGH,51
death,9440ef41,Suyash Sharma,12.0,2.0,124.0,10.33,23.61,12.9,11.1,HIGH,52
death,2ed569a0,RD Chahar,11.7,5.0,105.0,9.0,25.71,14.3,27.8,HIGH,53
death,c7a995d3,R Sai Kishore,11.5,7.0,122.0,10.61,23.19,20.0,26.9,HIGH,54
death,81c36ee9,M Jansen,11.2,8.0,110.0,9.85,28.36,13.2,29.6,HIGH,55
death,ee1b6c27,N Thushara,11.0,2.0,95.0,8.64,21.21,36.7,22.2,MEDIUM,56
death,b0946605,AS Joseph,10.7,4.0,119.0,11.16,26.56,31.7,50.0,MEDIUM,57
death,13fc5c6d,DS Rathi,10.0,4.0,95.0,9.5,25.0,19.2,28.6,HIGH,58
death,ffe699c0,CJ Jordan,10.0,2.0,115.0,11.5,35.0,45.5,66.7,MEDIUM,59
death,5750bcb4,E Malinga,9.7,7.0,88.0,9.1,36.21,36.3,53.8,MEDIUM,60
death,b8527c3d,Rasikh Salam,9.5,3.0,93.0,9.79,33.33,31.1,30.0,MEDIUM,61
death,12314277,Arshad Khan,9.3,3.0,134.0,14.36,19.64,20.6,25.0,MEDIUM,62
death,a9fd84fb,M Markande,9.0,2.0,114.0,12.67,29.63,15.0,10.5,HIGH,63
death,5b8c830e,KH Pandya,9.0,3.0,80.0,8.89,35.19,7.4,9.4,HIGH,64
death,9061a703,J Little,9.0,0.0,87.0,9.67,24.07,23.7,0.0,MEDIUM,65
death,4933f499,JP Behrendorff,9.0,5.0,102.0,11.33,29.63,21.4,35.7,MEDIUM,66
death,c05edf8e,Harpreet Brar,8.2,3.0,86.0,10.53,18.37,9.4,11.5,HIGH,67
death,8f6dd463,Azmatullah Omarzai,8.0,3.0,96.0,12.0,18.75,16.7,25.0,MEDIUM,68
death,83c3e8e3,SH Johnson,7.3,3.0,65.0,8.86,36.36,26.8,60.0,MEDIUM,69
death,23eeb873,DL Chahar,7.2,2.0,101.0,14.09,25.58,7.3,6.9,HIGH,70
death,a97c8ec2,PWH de Silva,7.0,5.0,54.0,7.71,38.1,10.0,25.0,HIGH,71
death,327b58d3,PVD Chameera,7.0,3.0,81.0,11.57,30.95,35.0,75.0,MEDIUM,72
death,2e171977,AR Patel,7.0,0.0,59.0,8.43,21.43,5.5,0.0,HIGH,73
death,d45c29b1,Ashwani Kumar,6.5,4.0,90.0,13.85,30.77,31.7,36.4,MEDIUM,74
death,14f96089,A Zampa,6.0,3.0,71.0,11.83,22.22,20.0,30.0,MEDIUM,75
death,119678fd,KV Sharma,6.0,4.0,54.0,9.0,22.22,9.9,17.4,HIGH,76
death,5ffc0565,V Nigam,6.0,2.0,34.0,5.67,36.11,15.4,20.0,MEDIUM,77
death,80b2fb19,Prince Yadav,5.8,1.0,79.0,13.54,17.14,25.5,33.3,MEDIUM,78
death,e4a0deae,MJ Santner,5.5,2.0,60.0,10.91,18.18,9.1,14.3,HIGH,79
death,e9c7f0d0,Fazalhaq Farooqi,5.3,1.0,75.0,14.06,9.38,17.6,25.0,MEDIUM,80
death,aad0c365,Nithish Kumar Reddy,5.2,3.0,71.0,13.74,22.58,22.3,60.0,MEDIUM,81
death,3d8feaf8,MR Marsh,5.2,3.0,66.0,12.77,25.81,18.3,23.1,MEDIUM,82
death,c5aef772,R Shepherd,5.0,2.0,70.0,14.0,26.67,19.2,28.6,MEDIUM,83
death,8db7f47f,RJW Topley,5.0,2.0,68.0,13.6,23.33,25.0,40.0,MEDIUM,84
death,98ae73b1,PP Chawla,5.0,2.0,35.0,7.0,43.33,5.2,6.1,HIGH,85
death,fe93fd9d,RA Jadeja,4.7,1.0,62.0,13.29,14.29,3.3,2.6,HIGH,86
death,d9273ee7,MP Stoinis,4.5,2.0,64.0,14.22,18.52,11.5,20.0,MEDIUM,87
death,f19ccfad,Washington Sundar,4.5,1.0,35.0,7.78,22.22,13.4,20.0,MEDIUM,88
death,0a67aec0,Akash Deep,4.5,1.0,58.0,12.89,22.22,16.4,20.0,MEDIUM,89
death,3a60e0b5,WD Parnell,4.2,2.0,44.0,10.56,24.0,16.6,22.2,MEDIUM,90
death,f6d8a7ab,K Kartikeya,4.0,0.0,47.0,11.75,29.17,11.8,0.0,MEDIUM,91
death,30df8c66,Simarjeet Singh,4.0,0.0,49.0,12.25,20.83,18.2,0.0,MEDIUM,92
death,6b19d823,A Mishra,4.0,3.0,39.0,9.75,29.17,19.0,37.5,MEDIUM,93
death,81c08fa3,Umran Malik,4.0,1.0,55.0,13.75,29.17,19.0,20.0,MEDIUM,94
death,36619795,Zeeshan Ansari,3.8,0.0,48.0,12.52,21.74,11.3,0.0,MEDIUM,95
death,b1ad996b,MP Yadav,3.2,3.0,22.0,6.95,42.11,15.7,33.3,MEDIUM,96
death,bb351c23,MM Ali,3.0,2.0,22.0,7.33,38.89,6.0,11.8,HIGH,97
death,cc1e8c68,UT Yadav,3.0,2.0,41.0,13.67,16.67,7.5,22.2,MEDIUM,98
