bowler_id,bowler_name,powerplay_overs,powerplay_economy,powerplay_wickets,middle_overs,middle_economy,middle_wickets,death_overs,death_economy,death_wickets,phase_tags
529eb9e0,OC McCoy,2.0,7.0,0.0,14.2,10.16,3.0,10.8,8.95,8.0,
23cca426,OF Smith,3.0,7.0,1.0,9.0,12.44,2.0,3.0,15.33,4.0,
6ad3a659,P Amarnath,1.0,12.0,0.0,18.0,10.5,6.0,3.0,13.33,1.0,
1a0c3177,P Awana,45.0,8.07,14.0,51.0,7.25,13.0,28.5,10.98,16.0,
ed5a5510,P Dubey,0.0,,0.0,12.0,8.42,2.0,1.0,11.0,0.0,
e938e1bc,P Kumar,262.0,6.92,44.0,60.0,7.85,15.0,98.7,10.72,43.0,"PP_BEAST, DEATH_LIABILITY"
f62772e5,P Negi,7.0,9.14,3.0,99.0,7.45,26.0,13.3,11.4,9.0,
0c432afb,P Parameswaran,6.0,10.83,2.0,13.2,7.37,2.0,6.5,9.85,5.0,
ddb00822,P Prasanth,0.0,,0.0,1.0,18.0,0.0,0.0,,0.0,
441c72ae,P Ray Barman,0.0,,0.0,3.0,12.0,0.0,1.0,20.0,0.0,
9a0146b3,P Sahu,1.0,11.0,0.0,13.5,8.15,3.0,3.0,10.33,0.0,
cedc1d9a,P Suyal,10.0,9.3,1.0,2.0,9.0,1.0,4.0,10.75,0.0,
25eeb281,PC Valthaty,0.0,,0.0,22.0,8.0,5.0,3.2,9.79,2.0,
a386e91b,PD Collingwood,0.0,,0.0,11.0,7.27,2.0,3.8,5.48,3.0,
c695b423,PH Solanki,0.0,,0.0,4.0,6.0,1.0,2.0,7.5,1.0,
08548b13,PHKD Mendis,0.0,,0.0,7.0,8.57,2.0,0.0,,0.0,
ded9240e,PJ Cummins,116.0,8.77,28.0,79.0,8.04,25.0,74.5,10.52,29.0,DEATH_LIABILITY
9fc0ef64,PJ Sangwan,59.0,8.83,16.0,61.0,8.59,19.0,22.7,9.79,9.0,MIDDLE_OVERS_LIABILITY
4b4d1957,PM Sarvesh Kumar,1.0,8.0,0.0,4.0,8.5,1.0,0.0,,0.0,
98ae73b1,PP Chawla,72.8,7.91,21.0,494.8,7.97,139.0,74.0,8.88,41.0,
6c6591ab,PP Ojha,40.0,8.1,7.0,228.8,7.07,66.0,47.7,9.61,26.0,
6aed7e79,PV Tambe,13.0,8.77,3.0,84.0,7.25,20.0,13.0,11.0,5.0,
327b58d3,PVD Chameera,32.0,9.81,7.0,15.0,8.6,1.0,17.0,11.59,7.0,PP_LIABILITY
c27b5a0e,PVSN Raju,1.0,13.0,0.0,1.0,12.0,0.0,2.0,14.5,2.0,
c96f6ac5,PWA Mulder,0.0,,0.0,0.0,,0.0,1.0,16.0,0.0,
a97c8ec2,PWH de Silva,10.0,9.9,4.0,103.0,8.4,31.0,20.0,8.5,12.0,
e32d22f6,Pankaj Singh,25.0,7.8,8.0,17.0,9.82,2.0,8.0,13.75,1.0,
9170ff49,Parvez Rasool,11.0,9.18,1.0,22.0,7.82,3.0,0.0,,0.0,
80b2fb19,Prince Yadav,4.0,8.25,0.0,13.0,8.77,3.0,5.8,13.54,2.0,
495d42a5,R Ashwin,208.7,7.2,54.0,476.2,7.11,111.0,100.2,8.33,40.0,DEATH_BEAST
33a364a6,R Bhatia,2.0,12.5,0.0,232.2,7.31,61.0,38.5,8.73,21.0,
26a85969,R Dhawan,26.0,8.5,5.0,69.0,7.72,18.0,15.3,10.96,4.0,
266849c1,R Goyal,0.0,,0.0,4.0,8.5,0.0,0.0,,0.0,
c654af19,R McLaren,25.0,8.8,4.0,20.0,9.1,3.0,14.0,11.14,7.0,
