batter_id,batter_name,pace_balls,pace_sr,pace_avg,pace_dismissals,spin_balls,spin_sr,spin_avg,spin_dismissals,bowling_type_tags
b681e71e,GJ Maxwell,146,171.23,25.0,10.0,164,152.44,14.71,17.0,"VULNERABLE_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, VULNERABLE_VS_OFF_SPIN"
235c2bb6,H Klaasen,415,163.61,33.95,20.0,373,186.06,63.09,11.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
4ae1755b,HC Brook,101,125.74,21.17,6.0,52,121.15,21.0,3.0,
dbe50b21,HH Pandya,350,144.29,21.04,24.0,186,149.46,30.89,9.0,"SPECIALIST_VS_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
c05edf8e,Harpreet Brar,80,131.25,13.12,8.0,26,115.38,15.0,2.0,
28c78fb3,Harpreet Singh,60,126.67,25.33,3.0,28,82.14,23.0,1.0,
752f7486,Ishan Kishan,518,151.93,32.79,24.0,231,133.77,20.6,15.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_OFF_SPIN"
9b6e1b3f,J Fraser-McGurk,144,184.72,26.6,10.0,41,243.9,25.0,4.0,
99b75528,JC Buttler,555,147.75,35.65,23.0,285,150.18,35.67,12.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN, SPECIALIST_VS_LEFT_ARM_SPIN, SPECIALIST_VS_LEG_SPIN, SPECIALIST_VS_OFF_SPIN"
d1c36f5c,JJ Roy,137,127.01,34.8,5.0,50,222.0,37.0,3.0,SPECIALIST_VS_SPIN
abb83e27,JM Bairstow,170,161.76,45.83,6.0,65,160.0,26.0,4.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_SPIN"
800d2d97,JM Sharma,312,158.01,25.95,19.0,153,152.94,19.5,12.0,"SPECIALIST_VS_PACE, SPECIALIST_VS_LEG_SPIN"
989889ff,JP Inglis,134,166.42,44.6,5.0,37,148.65,11.0,5.0,SPECIALIST_VS_PACE
