batter_id,batter_name,innings,total_runs,total_balls,avg_runs,stddev_runs,cv_runs,overall_sr,avg_innings_sr,stddev_sr,boundary_pct,high_impact_innings,high_impact_pct,single_digit_dismissals,failure_rate,consistency_index,quality_multiplier,weighted_consistency
0994d0ae,V Shankar,16,460.0,312.0,28.75,18.995065148611626,0.661,147.44,142.33,49.49,18.27,4.0,25.0,1.0,8.3,33.9,1.1,37.3
00ea847a,MA Agarwal,14,409.0,306.0,29.214285714285715,19.567387486867645,0.67,133.66,128.35,34.33,17.32,5.0,35.7,1.0,7.7,33.0,1.0,33.0
f29185a1,Abhishek Sharma,26,1082.0,551.0,41.61538461538461,27.958866658934355,0.672,196.37,192.63,77.53,32.3,18.0,69.2,1.0,4.0,32.8,1.2,39.4
aad0c365,Nithish Kumar Reddy,17,460.0,339.0,27.058823529411764,18.215928996462196,0.673,135.69,131.37,42.03,15.63,7.0,41.2,2.0,14.3,32.7,1.0,32.7
919a3be2,RR Pant,17,680.0,444.0,40.0,27.565963667921647,0.689,153.15,144.9,34.19,21.62,8.0,47.1,0.0,0.0,31.1,1.2,37.3
e94915e6,SM Curran,20,609.0,439.0,30.45,21.294306750866532,0.699,138.72,129.71,43.08,16.4,5.0,25.0,3.0,18.8,30.1,1.0,30.1
0bacade8,Rahmanullah Gurbaz,12,349.0,244.0,29.083333333333332,20.47949516521885,0.704,143.03,137.83,43.48,22.13,4.0,33.3,1.0,8.3,29.6,1.1,32.6
50c6bc2b,LS Livingstone,12,441.0,269.0,36.75,26.080404521402656,0.71,163.94,151.75,40.25,21.19,5.0,41.7,1.0,12.5,29.0,1.2,34.8
fe11caa6,WP Saha,18,477.0,358.0,26.5,18.994882351716623,0.717,133.24,124.01,40.15,19.83,6.0,33.3,1.0,5.9,28.3,1.0,28.3
bb351c23,MM Ali,10,197.0,164.0,19.7,14.443337564427413,0.733,120.12,111.9,48.39,15.24,2.0,20.0,3.0,30.0,26.7,0.9,24.0
d9273ee7,MP Stoinis,23,881.0,543.0,38.30434782608695,28.081302432647234,0.733,162.25,156.76,57.44,22.84,11.0,47.8,1.0,5.6,26.7,1.2,32.0
