batter_id,batter_name,innings_count,mean_entry_ball,median_entry_ball,mode_entry_ball,mean_entry_over,median_entry_over,mode_entry_over,position_category,min_entry_ball,max_entry_ball
0c9652b0,HR Shokeen,5,79.6,97.0,96,13.27,16.17,16.0,LOWER_ORDER,33,120
0dc00542,Shahid Afridi,9,62.0,58.0,54,10.33,9.67,9.0,MIDDLE_ORDER,4,121
0ebfb1ad,E Lewis,26,16.5,5.0,0,2.76,0.83,0.0,OPENER,1,112
0f12f9df,NLTC Perera,30,84.0,89.5,90,13.99,14.92,15.0,LOWER_ORDER,25,123
0f721006,JO Holder,27,93.7,101.0,102,15.61,16.83,17.0,LOWER_ORDER,4,125
0fa5042b,L Ronchi,5,1.0,1.0,0,0.17,0.17,0.0,OPENER,1,1
11614d87,D Pretorius,5,109.0,105.0,120,18.17,17.5,20.0,LOWER_ORDER,95,124
119678fd,KV Sharma,40,97.9,107.5,114,16.32,17.92,19.0,LOWER_ORDER,14,127
11df3dc8,MJ Lumb,12,1.2,1.0,0,0.19,0.17,0.0,OPENER,1,3
12314277,Arshad Khan,11,100.7,110.0,84,16.79,18.33,14.0,LOWER_ORDER,52,127
12b610c2,TM Head,37,16.9,2.0,0,2.81,0.33,0.0,OPENER,1,109
12eddf28,RJ Harris,21,105.4,110.0,114,17.57,18.33,19.0,LOWER_ORDER,68,122
1399b39c,Anmolpreet Singh,9,12.7,7.0,0,2.11,1.17,0.0,TOP_ORDER,1,52
13c35c9e,TG Southee,19,102.5,109.0,108,17.08,18.17,18.0,LOWER_ORDER,56,123
14f96089,A Zampa,5,94.6,89.0,78,15.77,14.83,13.0,LOWER_ORDER,54,126
16043342,AB McDonald,9,85.0,101.0,96,14.17,16.83,16.0,LOWER_ORDER,1,115
18c78b11,RE Levi,6,1.7,1.0,0,0.28,0.17,0.0,OPENER,1,5
1a0c3177,P Awana,5,114.8,115.0,108,19.13,19.17,18.0,LOWER_ORDER,111,120
1a156c88,DJM Short,7,2.6,2.0,0,0.43,0.33,0.0,OPENER,1,6
1abb78f8,SN Thakur,40,101.2,106.5,120,16.88,17.75,20.0,LOWER_ORDER,19,128
