batter_id,batter_name,bowling_type,balls,runs,dismissals,fours,sixes,dot_balls,strike_rate,average,dot_pct,boundary_pct
740742ef,RG Sharma,Left-arm orthodox,3,2.0,0.0,0.0,0.0,2.0,66.67,,66.67,0.0
740742ef,RG Sharma,Left-arm pace,58,109.0,5.0,10.0,9.0,25.0,187.93,21.8,43.1,32.76
740742ef,RG Sharma,Off-Spin/Leg-Spin,6,10.0,1.0,2.0,0.0,2.0,166.67,10.0,33.33,33.33
740742ef,RG Sharma,Right-arm leg-spin,58,87.0,6.0,9.0,5.0,24.0,150.0,14.5,41.38,24.14
740742ef,RG Sharma,Right-arm off-spin,44,46.0,4.0,7.0,0.0,20.0,104.55,11.5,45.45,15.91
740742ef,RG Sharma,Right-arm pace,175,273.0,5.0,30.0,15.0,72.0,156.0,54.6,41.14,25.71
740742ef,RG Sharma,Wrist-spin,13,18.0,0.0,2.0,0.0,2.0,138.46,,15.38,15.38
402f8494,RJ Gleeson,Fast-Medium,2,2.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0
8db7f47f,RJW Topley,Fast-Medium,3,1.0,0.0,0.0,0.0,2.0,33.33,,66.67,0.0
8db7f47f,RJW Topley,Right-arm leg-spin,2,1.0,0.0,0.0,0.0,1.0,50.0,,50.0,0.0
b63e358a,RK Bhui,Fast-Medium,2,1.0,0.0,0.0,0.0,1.0,50.0,,50.0,0.0
b63e358a,RK Bhui,LA Orthodox,2,0.0,1.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0
b63e358a,RK Bhui,Left-arm pace,2,0.0,1.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0
b63e358a,RK Bhui,Right-arm leg-spin,3,2.0,0.0,0.0,0.0,1.0,66.67,,33.33,0.0
0a509d6b,RK Singh,Fast-Medium,84,163.0,1.0,14.0,11.0,23.0,194.05,163.0,27.38,29.76
0a509d6b,RK Singh,LA Orthodox,59,76.0,3.0,1.0,6.0,22.0,128.81,25.33,37.29,11.86
0a509d6b,RK Singh,Left-arm orthodox,1,1.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0
0a509d6b,RK Singh,Left-arm pace,31,72.0,3.0,5.0,6.0,7.0,232.26,24.0,22.58,35.48
0a509d6b,RK Singh,Off-Spin/Left-Arm Orthodox,1,1.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0
0a509d6b,RK Singh,Off-Spin/Leg-Spin,4,8.0,0.0,1.0,0.0,0.0,200.0,,0.0,25.0
0a509d6b,RK Singh,Right-arm leg-spin,56,72.0,4.0,5.0,3.0,17.0,128.57,18.0,30.36,14.29
0a509d6b,RK Singh,Right-arm off-spin,13,16.0,0.0,2.0,0.0,2.0,123.08,,15.38,15.38
0a509d6b,RK Singh,Right-arm pace,135,218.0,7.0,19.0,12.0,44.0,161.48,31.14,32.59,22.96
0a509d6b,RK Singh,Wrist-spin,38,49.0,2.0,6.0,2.0,18.0,128.95,24.5,47.37,21.05
c740ea83,RM Patidar,Fast-Medium,101,171.0,6.0,15.0,8.0,25.0,169.31,28.5,24.75,22.77
c740ea83,RM Patidar,LA Orthodox,53,84.0,2.0,3.0,7.0,14.0,158.49,42.0,26.42,18.87
c740ea83,RM Patidar,Left-arm orthodox,3,6.0,0.0,1.0,0.0,0.0,200.0,,0.0,33.33
c740ea83,RM Patidar,Left-arm pace,26,34.0,3.0,3.0,1.0,7.0,130.77,11.33,26.92,15.38
c740ea83,RM Patidar,Right-arm leg-spin,72,162.0,3.0,6.0,17.0,17.0,225.0,54.0,23.61,31.94
c740ea83,RM Patidar,Right-arm off-spin,18,32.0,0.0,1.0,3.0,4.0,177.78,,22.22,22.22
c740ea83,RM Patidar,Right-arm pace,84,108.0,5.0,13.0,3.0,31.0,128.57,21.6,36.9,19.05
c740ea83,RM Patidar,Wrist-spin,32,36.0,1.0,1.0,2.0,10.0,112.5,36.0,31.25,9.38
919a3be2,RR Pant,Fast-Medium,79,93.0,4.0,7.0,6.0,38.0,117.72,23.25,48.1,16.46
919a3be2,RR Pant,LA Orthodox,29,37.0,0.0,4.0,1.0,10.0,127.59,,34.48,17.24
919a3be2,RR Pant,Left-arm pace,35,61.0,0.0,6.0,3.0,12.0,174.29,,34.29,25.71
919a3be2,RR Pant,Right-arm leg-spin,68,105.0,4.0,10.0,5.0,21.0,154.41,26.25,30.88,22.06
919a3be2,RR Pant,Right-arm off-spin,31,28.0,3.0,1.0,1.0,13.0,90.32,9.33,41.94,6.45
919a3be2,RR Pant,Right-arm pace,114,202.0,7.0,19.0,12.0,35.0,177.19,28.86,30.7,27.19
919a3be2,RR Pant,Wrist-spin,37,28.0,1.0,2.0,1.0,21.0,75.68,28.0,56.76,8.11
cad00a4d,RR Rossouw,Fast-Medium,44,83.0,3.0,12.0,3.0,17.0,188.64,27.67,38.64,34.09
